Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
237,Richaun Holmes\holmeri01,C,28,SAC,27,27,26.1,5.3,7.7,.692,0.1,0.1,.500,5.3,7.6,.696,.697,1.9,2.3,.806,2.5,6.2,8.7,1.3,0.3,1.0,1.4,3.1,12.6
238,Rodney Hood\hoodro01,SF,29,MIL,32,0,16.1,1.3,3.6,.357,0.7,2.3,.315,0.6,1.3,.429,.457,0.4,0.4,.929,0.3,1.6,1.9,0.8,0.3,0.1,0.2,0.8,3.7
239,Scotty Hopson\hopsosc01,SG,32,OKC,1,0,18.0,2.0,4.0,.500,0.0,1.0,.000,2.0,3.0,.667,.500,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,4.0
240,Al Horford\horfoal01,C,35,BOS,32,32,29.5,4.0,9.2,.431,1.2,4.3,.285,2.8,4.9,.557,.497,1.7,2.0,.859,1.6,6.1,7.6,3.8,0.7,1.5,1.2,2.1,10.9
241,Talen Horton-Tucker\hortota01,SG,21,LAL,25,15,28.0,4.2,10.2,.408,0.8,3.3,.244,3.4,6.9,.486,.447,1.8,2.2,.821,0.8,3.2,4.0,2.8,1.0,0.4,1.6,2.8,11.0
242,Danuel House Jr.\houseda01,SF,28,TOT,20,1,14.5,1.5,4.4,.345,0.7,2.2,.318,0.8,2.2,.372,.425,1.0,1.1,.905,0.3,2.2,2.5,1.2,0.3,0.3,1.0,1.1,4.7
242,Danuel House Jr.\houseda01,SF,28,HOU,16,1,14.6,1.6,4.6,.338,0.6,2.1,.294,0.9,2.5,.375,.405,1.1,1.2,.895,0.3,2.4,2.7,1.2,0.3,0.3,1.1,1.0,4.8
242,Danuel House Jr.\houseda01,SF,28,NYK,1,0,3.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,Danuel House Jr.\houseda01,SF,28,UTA,3,0,18.0,1.7,4.0,.417,1.3,3.0,.444,0.3,1.0,.333,.583,0.7,0.7,1.000,0.7,1.7,2.3,1.7,0.3,0.3,0.3,2.0,5.3
243,Dwight Howard\howardw01,C,36,LAL,31,6,14.7,1.8,3.0,.606,0.2,0.3,.750,1.6,2.8,.593,.638,1.2,1.9,.617,1.7,3.7,5.4,0.6,0.7,0.6,0.8,1.9,5.1
244,Markus Howard\howarma02,SG,22,DEN,16,0,7.3,1.4,3.9,.355,1.1,2.9,.391,0.3,1.0,.250,.500,0.4,0.5,.875,0.0,0.3,0.3,0.3,0.4,0.0,0.4,0.7,4.3
245,Kevin Huerter\huertke01,SG,23,ATL,32,20,28.3,4.5,9.7,.469,1.8,4.8,.370,2.8,4.8,.568,.561,0.6,0.7,.783,0.3,3.1,3.4,2.7,0.5,0.3,1.3,2.0,11.4
246,Jay Huff\huffja01,C,23,LAL,4,0,5.0,0.0,0.8,.000,0.0,0.5,.000,0.0,0.3,.000,.000,0.0,0.0,,0.3,0.8,1.0,0.3,0.3,0.3,0.3,0.3,0.0
247,Elijah Hughes\hugheel01,SF,23,UTA,10,1,6.2,1.0,1.9,.526,0.7,1.4,.500,0.3,0.5,.600,.711,0.3,0.3,1.000,0.0,0.9,0.9,0.4,0.2,0.0,0.4,0.4,3.0
248,De'Andre Hunter\huntede01,SF,24,ATL,11,11,27.8,4.5,10.1,.450,1.4,3.5,.395,3.2,6.6,.479,.518,0.4,0.9,.400,0.4,2.4,2.7,0.6,0.6,0.3,1.3,2.9,10.8
249,Chandler Hutchison\hutchch01,SF,25,PHO,6,0,3.7,0.2,0.3,.500,0.0,0.0,,0.2,0.3,.500,.500,0.3,0.3,1.000,0.0,0.8,0.8,0.3,0.0,0.0,0.7,0.2,0.7
250,Bones Hyland\hylanbo01,PG,21,DEN,29,0,16.6,2.7,7.7,.351,1.4,4.7,.309,1.2,3.0,.419,.446,1.0,1.1,.875,0.2,2.0,2.2,1.6,0.5,0.2,0.9,2.0,7.8
251,Serge Ibaka\ibakase01,C,32,LAC,23,7,16.0,2.5,5.3,.471,0.7,1.8,.381,1.8,3.4,.519,.537,0.6,0.9,.667,1.0,3.0,4.0,1.2,0.2,0.6,1.2,1.8,6.3
252,Andre Iguodala\iguodan01,SF,38,GSW,21,0,20.8,1.7,4.2,.404,0.6,2.5,.226,1.1,1.7,.667,.472,0.4,0.6,.750,0.7,2.9,3.6,4.2,0.8,0.7,0.8,1.0,4.4
253,Joe Ingles\inglejo01,SF,34,UTA,36,8,25.2,2.7,6.3,.427,1.9,4.9,.376,0.8,1.4,.612,.575,0.4,0.5,.778,0.3,2.6,2.9,3.6,0.6,0.1,1.2,1.9,7.6
254,Brandon Ingram\ingrabr01,SF,24,NOP,32,32,34.7,8.3,18.6,.447,1.7,4.8,.353,6.6,13.8,.480,.492,4.6,5.5,.825,0.8,5.3,6.1,5.1,0.6,0.3,2.8,2.0,22.9
255,Kyrie Irving\irvinky01,PG,29,BRK,2,2,36.0,9.0,19.0,.474,1.5,5.0,.300,7.5,14.0,.536,.513,2.5,2.5,1.000,0.5,5.0,5.5,4.0,2.0,1.0,3.0,2.5,22.0
256,Wes Iwundu\iwundwe01,SF,27,ATL,3,1,27.3,2.7,6.0,.444,1.0,1.7,.600,1.7,4.3,.385,.528,1.0,1.3,.750,1.0,3.3,4.3,0.0,0.3,0.0,0.3,2.7,7.3
257,Frank Jackson\jacksfr01,PG,23,DET,33,5,22.7,3.7,9.2,.403,1.9,5.6,.333,1.8,3.6,.513,.505,1.3,1.6,.830,0.3,1.2,1.5,0.9,0.5,0.2,0.8,1.6,10.7
258,Isaiah Jackson\jacksis01,PF,20,IND,9,0,5.4,0.8,1.9,.412,0.0,0.0,,0.8,1.9,.412,.412,0.3,0.7,.500,0.7,1.0,1.7,0.0,0.2,0.2,0.1,1.0,1.9
259,Jaren Jackson Jr.\jacksja02,PF,22,MEM,42,42,27.4,5.5,13.5,.409,1.8,5.7,.313,3.7,7.7,.480,.475,3.5,4.2,.840,1.3,4.3,5.6,1.1,1.0,2.0,1.7,3.4,16.3
260,Josh Jackson\jacksjo02,SF,24,DET,31,3,18.7,3.0,7.1,.420,0.9,3.1,.278,2.1,3.9,.533,.482,1.0,1.4,.705,0.5,2.7,3.3,1.4,0.5,0.4,1.1,1.8,7.8
261,Justin Jackson\jacksju01,SF,26,TOT,4,0,6.3,1.3,2.0,.625,0.8,1.3,.600,0.5,0.8,.667,.813,0.5,0.5,1.000,0.3,1.3,1.5,0.0,0.0,0.0,0.3,0.5,3.8
261,Justin Jackson\jacksju01,SF,26,BOS,1,0,2.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,2.0,2.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
