,Dropout%,Batch,Epochs,Loss,50th Quantile,%Accept,Overfit
0,0.3,0.3,1000,65.65676697256825,5.182888551354967,48.98336414048059,True
1,0.3,0.3,4000,79.55321227688886,5.471959839597268,45.65619223659889,True
2,0.3,0.3,7000,79.48040891354714,5.331375197796309,47.504621072088725,True
3,0.3,0.3,10000,87.9646224834562,5.793517401802363,45.4713493530499,True
4,0.3,0.4,1000,62.44987807212167,5.012439528363952,49.72273567467653,True
5,0.3,0.4,4000,67.83137340157839,5.224307508817386,46.58040665434381,True
6,0.3,0.4,7000,69.65023176859576,5.319920509888373,47.689463955637706,True
7,0.3,0.4,10000,82.01221980801792,5.180666248972823,47.874306839186694,True
8,0.3,0.5,1000,70.66688893683076,5.712140646556881,44.73197781885398,True
9,0.3,0.5,4000,67.09815641956718,4.9827571807097275,50.27726432532348,True
10,0.3,0.5,7000,69.37692314331281,5.433534304300942,46.58040665434381,True
11,0.3,0.5,10000,89.09391401082883,5.551068500596646,44.91682070240296,True
12,0.3,0.6,1000,77.1399748091777,5.626684700921288,44.73197781885398,False
13,0.3,0.6,4000,64.58094848237945,4.824223979826895,51.20147874306839,True
14,0.3,0.6,7000,73.89142710179807,5.3599571488861315,46.76524953789279,True
15,0.3,0.6,10000,81.35057545942212,5.589952008477578,46.39556377079482,True
16,0.3,0.7,1000,66.03311962473194,5.44596525498892,45.4713493530499,False
17,0.3,0.7,4000,73.5222736013134,5.488188634478497,46.21072088724584,True
18,0.3,0.7,7000,74.61344271534692,5.231129614131628,48.24399260628466,True
19,0.3,0.7,10000,76.70665168409647,5.5523251061885635,46.02587800369686,True
20,0.4,0.3,1000,68.67074969956262,4.850119772921788,52.31053604436229,True
21,0.4,0.3,4000,73.62193556413632,5.196350037958327,48.24399260628466,True
22,0.4,0.3,7000,71.39338260305126,5.378405559593638,47.31977818853974,True
23,0.4,0.3,10000,72.30889850270947,5.561584968877028,46.21072088724584,True
24,0.4,0.4,1000,71.62442357879469,4.983253217723272,50.64695009242144,False
25,0.4,0.4,4000,67.8896918164604,5.030356784199565,49.72273567467653,True
26,0.4,0.4,7000,70.93884373240022,5.566582758664083,45.4713493530499,True
27,0.4,0.4,10000,87.28627259541791,6.123512796550912,43.622920517560075,True
28,0.4,0.5,1000,69.18133815687818,5.578135392973373,44.91682070240296,False
29,0.4,0.5,4000,65.90478208897956,5.24394187807663,47.504621072088725,True
30,0.4,0.5,7000,69.26456249046679,5.064041006154035,49.35304990757856,True
31,0.4,0.5,10000,82.19477972570056,5.782743212609372,43.992606284658045,True
32,0.4,0.6,1000,65.5014212673561,5.423212099476018,46.950092421441774,False
33,0.4,0.6,4000,74.0802252411622,5.09926511289121,48.98336414048059,True
34,0.4,0.6,7000,75.76004638953923,5.420913299458139,47.13493530499076,True
35,0.4,0.6,10000,76.70042295332537,5.474059415667249,46.02587800369686,True
36,0.4,0.7,1000,82.42394143772654,5.716668982393678,44.91682070240296,False
37,0.4,0.7,4000,68.25538436410167,5.08539373546728,49.35304990757856,True
38,0.4,0.7,7000,82.42140626466649,5.551510435318594,46.58040665434381,True
39,0.4,0.7,10000,66.32086246511632,5.56954985398513,45.28650646950093,True
40,0.5,0.3,1000,72.30555557984302,5.30226905104043,48.98336414048059,False
41,0.5,0.3,4000,70.17719356233664,5.412509632861521,46.950092421441774,True
42,0.5,0.3,7000,66.51311501381358,5.165058633555537,49.16820702402958,True
43,0.5,0.3,10000,80.97988712501173,5.395541967347613,45.65619223659889,True
44,0.5,0.4,1000,74.65822079529823,4.829622268676758,51.386321626617374,False
45,0.5,0.4,4000,63.41632895548992,5.357606811903011,48.24399260628466,True
46,0.5,0.4,7000,69.96765941965381,5.134435148587894,48.98336414048059,True
47,0.5,0.4,10000,67.41851503439179,5.086839334522367,49.35304990757856,True
48,0.5,0.5,1000,64.63283427409456,4.949322106703271,50.09242144177449,False
49,0.5,0.5,4000,63.49352954716427,5.202314150083314,48.98336414048059,False
50,0.5,0.5,7000,69.12741473862512,5.179651480953709,48.79852125693161,True
51,0.5,0.5,10000,74.4951341526786,5.826135990231535,45.28650646950093,True
52,0.5,0.6,1000,64.70385266231742,4.9199891771589,50.46210720887245,False
53,0.5,0.6,4000,61.14585221408696,4.5175018356562475,53.789279112754166,True
