,Matchup time,Batch,Epochs,Loss,50th Quantile,%Accept,Overfit
0,7,0.3,1000,93.49863914753901,6.103210773433526,41.34419551934827,False
1,7,0.3,2000,99.74887384853635,5.651342011650524,44.602851323828915,False
2,7,0.3,3000,98.86570624761329,6.485210421317561,41.54786150712831,False
3,7,0.4,1000,97.93888886057432,5.593156213519954,46.63951120162933,False
4,7,0.4,2000,87.25802239381126,5.787607125376667,42.973523421588595,False
5,7,0.4,3000,78.58613619056592,5.945731629450766,41.75152749490835,False
6,7,0.5,1000,101.24307752092598,5.769789958563377,44.602851323828915,False
7,7,0.5,2000,92.25156346649356,5.844736241746222,43.9918533604888,False
8,7,0.5,3000,111.54994332571864,6.0626566750662665,42.76985743380855,False
9,7,0.6,1000,102.95145273305734,6.298927013690655,43.58452138492871,False
10,7,0.6,2000,112.51923314811256,5.988996497551259,41.54786150712831,False
11,7,0.6,3000,106.92645155679428,6.408310052934382,43.17718940936864,True
12,7,0.7,1000,114.67932391506591,6.696865793794638,38.69653767820774,False
13,7,0.7,2000,96.96983326525407,5.913981412158977,41.54786150712831,False
14,7,0.7,3000,92.42331000986508,5.780163851651279,43.78818737270876,True
15,8,0.3,1000,99.85630580357143,6.132475250142074,42.032967032967036,False
16,8,0.3,2000,88.8143642760895,5.699098502319125,45.604395604395606,False
17,8,0.3,3000,92.90828914432736,6.304136592027254,38.46153846153847,True
18,8,0.4,1000,89.22842667129014,5.287649295260143,48.07692307692308,False
19,8,0.4,2000,86.29568913218739,5.37344913368752,46.15384615384615,False
20,8,0.4,3000,106.32719438154619,5.66931811847883,44.78021978021978,False
21,8,0.5,1000,120.64303815233838,6.924946747157767,35.714285714285715,False
22,8,0.5,2000,89.71491082160027,5.685417617457269,42.857142857142854,True
23,8,0.5,3000,90.37644715361543,5.818781219482137,42.857142857142854,True
24,8,0.6,1000,95.2670630989494,5.720768860620449,43.40659340659341,True
25,8,0.6,2000,84.56750119387449,5.830132900453819,43.956043956043956,False
26,8,0.6,3000,79.54713142311181,5.600380217975769,43.68131868131868,False
27,8,0.7,1000,88.91457232800158,5.984008207936899,44.230769230769226,False
28,8,0.7,2000,106.38989903376653,6.334221232295819,40.934065934065934,False
29,8,0.7,3000,100.62494768415179,5.67913259975617,43.40659340659341,False
30,9,0.3,1000,86.25991038929332,5.7447297255826415,45.45454545454545,True
31,9,0.3,2000,95.45986174149947,5.620647370721999,42.54545454545455,False
32,9,0.3,3000,78.48657864657315,6.0108717869591075,43.63636363636363,True
33,9,0.4,1000,104.18056526877663,6.334811081757415,42.18181818181818,False
34,9,0.4,2000,94.76261548128996,5.3636760443029265,47.27272727272727,False
35,9,0.4,3000,111.37448322642933,5.584497723762471,45.45454545454545,True
36,9,0.5,1000,104.16319502397018,5.877512886410668,45.45454545454545,False
37,9,0.5,2000,115.87328165227717,5.884820663322838,42.54545454545455,False
38,9,0.5,3000,83.75231953014027,5.717264240208198,45.81818181818182,False
39,9,0.6,1000,72.53101063121449,5.303811287393376,48.0,False
40,9,0.6,2000,81.29518965287642,5.87998848585082,44.36363636363637,False
41,9,0.6,3000,71.29106736616654,6.111038798377626,40.72727272727273,True
42,9,0.7,1000,112.46966100519354,6.185887449369654,41.81818181818181,False
43,9,0.7,2000,77.79253248734908,5.711989703931307,45.81818181818182,False
44,9,0.7,3000,68.21382978959517,4.804425357760316,52.36363636363637,True
45,10,0.3,1000,85.19581187855114,5.827647742985178,44.49760765550239,False
