Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
113,DeMarcus Cousins\couside01,C,31,MIL,17,287,19.8,.572,.407,.322,8.9,26.6,17.9,9.6,2.7,2.8,10.6,22.5,,0.5,0.6,1.1,.184,,-0.1,0.9,0.8,0.2
114,Robert Covington\covinro01,PF,31,POR,37,1042,10.6,.550,.720,.058,2.7,17.8,10.1,5.8,2.4,4.3,13.8,12.1,,0.2,0.9,1.1,.052,,-1.9,1.3,-0.7,0.4
115,Torrey Craig\craigto01,SF,31,IND,36,601,13.5,.597,.460,.178,7.9,14.9,11.4,8.9,1.2,1.4,12.0,14.5,,1.0,0.5,1.4,.116,,-0.3,0.0,-0.2,0.3
116,Jae Crowder\crowdja01,PF,31,PHO,34,961,10.4,.543,.676,.153,1.4,15.5,8.6,6.6,2.1,1.5,9.8,14.6,,0.3,1.6,1.9,.097,,-1.5,1.9,0.4,0.6
117,Jarrett Culver\culveja01,SG,22,MEM,17,180,13.2,.479,.319,.203,2.9,14.4,8.5,14.9,2.4,1.0,5.1,18.3,,0.1,0.2,0.3,.092,,-2.8,0.3,-2.4,0.0
118,Jarron Cumberland\cumbeja01,SG,24,POR,3,12,8.7,.500,.500,.000,9.0,18.7,13.8,11.5,0.0,0.0,0.0,7.3,,0.0,0.0,0.0,.087,,-3.8,-2.3,-6.1,0.0
119,Cade Cunningham\cunnica01,PG,20,DET,31,1003,11.7,.490,.466,.142,2.8,17.1,9.5,28.4,2.0,1.7,19.5,25.8,,-1.5,0.9,-0.5,-0.026,,-1.8,-0.5,-2.4,-0.1
120,Seth Curry\curryse01,SG,31,PHI,35,1217,15.6,.634,.452,.169,1.4,9.0,5.3,17.5,1.1,0.4,12.4,19.1,,2.3,0.7,3.0,.120,,0.8,-1.2,-0.4,0.5
121,Stephen Curry\curryst01,PG,33,GSW,37,1290,22.1,.590,.636,.239,2.1,14.5,8.5,30.0,2.0,1.4,13.1,32.6,,2.8,2.3,5.1,.190,,6.1,0.8,7.0,2.9
122,Anthony Davis\davisan02,C,28,LAL,27,955,23.3,.569,.116,.334,8.4,20.8,14.7,13.6,1.6,5.2,9.8,27.4,,1.7,1.4,3.1,.158,,2.3,0.6,2.9,1.2
123,Ed Davis\davised01,C,32,CLE,12,112,10.4,.649,.000,.500,5.0,29.7,17.8,1.2,1.3,5.5,17.0,6.9,,0.0,0.3,0.3,.131,,-4.2,3.4,-0.8,0.0
124,Terence Davis\daviste02,SG,24,SAC,24,399,12.2,.509,.553,.142,2.1,17.1,9.6,10.3,2.1,1.9,11.8,25.4,,-0.3,0.3,0.1,.011,,-2.1,-0.4,-2.4,0.0
125,Gabriel Deck\deckga01,PF,26,OKC,7,56,12.0,.643,.286,.000,1.8,9.3,5.4,14.3,0.9,0.0,12.5,12.4,,0.1,0.0,0.1,.090,,-1.2,-1.6,-2.8,0.0
126,Dewayne Dedmon\dedmode01,C,32,MIA,33,568,16.9,.644,.137,.301,11.8,27.7,19.8,7.6,1.1,2.9,15.8,15.3,,1.2,0.9,2.1,.176,,-0.3,0.6,0.2,0.3
127,Sam Dekker\dekkesa01,PF,27,TOR,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.011,,-5.5,-3.8,-9.3,0.0
128,Javin DeLaurier\delauja01,C,23,MIL,1,3,15.8,,,,0.0,34.4,17.5,0.0,16.1,0.0,,0.0,,0.0,0.0,0.0,.274,,-4.7,11.8,7.2,0.0
129,DeMar DeRozan\derozde01,PF,32,CHI,35,1220,23.1,.580,.106,.401,2.4,13.9,8.2,23.1,1.2,0.9,8.7,31.1,,3.5,1.1,4.6,.181,,3.2,-0.8,2.4,1.4
130,Cheick Diallo\diallch01,C,25,DET,3,31,12.6,.517,.000,.750,13.1,29.5,20.8,0.0,1.6,0.0,8.6,16.0,,0.0,0.0,0.1,.111,,-4.3,-3.5,-7.7,0.0
131,Hamidou Diallo\diallha01,SG,23,DET,33,722,16.1,.557,.181,.245,4.6,18.4,11.1,11.2,2.9,1.6,10.6,20.7,,0.5,0.9,1.3,.088,,-1.2,1.1,-0.1,0.3
132,Gorgui Dieng\dienggo01,C,32,ATL,28,275,16.8,.598,.526,.276,10.3,26.2,18.3,13.1,1.4,3.3,15.8,16.1,,0.5,0.3,0.8,.139,,0.5,0.7,1.2,0.2
133,Spencer Dinwiddie\dinwisp01,PG,28,WAS,32,969,14.8,.519,.445,.295,3.0,14.0,8.6,28.0,0.9,0.4,11.2,21.3,,1.3,0.5,1.8,.088,,0.5,-0.9,-0.4,0.4
134,Donte DiVincenzo\divindo01,SG,25,MIL,4,66,5.3,.391,.680,.520,11.3,21.9,16.7,3.9,0.7,0.0,16.3,23.8,,-0.2,0.1,-0.1,-0.060,,-6.2,-4.3,-10.5,-0.1
135,Luka Dončić\doncilu01,PG,22,DAL,25,870,21.4,.534,.387,.269,2.1,24.3,13.0,47.1,1.7,1.2,16.6,35.9,,0.4,1.4,1.8,.098,,4.2,1.2,5.4,1.6
136,Luguentz Dort\dortlu01,SF,22,OKC,36,1166,12.2,.527,.547,.239,2.0,11.0,6.4,8.8,1.4,1.1,9.2,22.7,,0.2,0.9,1.1,.046,,-1.9,-0.9,-2.8,-0.2
137,Ayo Dosunmu\dosunay01,SG,22,CHI,34,658,10.7,.616,.343,.193,2.2,9.8,6.0,8.8,1.1,1.6,15.1,14.1,,0.5,0.6,1.1,.078,,-2.0,-0.2,-2.2,0.0
138,Damyean Dotson\dotsoda01,SG,27,NYK,2,21,6.7,.500,.250,.000,0.0,10.3,5.1,7.0,0.0,0.0,0.0,8.5,,0.0,0.0,0.0,.039,,-3.3,-1.7,-5.0,0.0
139,Devon Dotson\dotsode01,PG,22,CHI,9,74,10.6,.599,.368,.421,1.5,10.3,5.9,18.6,0.7,0.0,18.2,16.3,,0.1,0.0,0.1,.080,,-2.9,-0.9,-3.9,0.0
140,Sekou Doumbouya\doumbse01,PF,21,LAL,2,16,41.2,.717,.250,.500,13.5,25.8,19.8,0.0,8.9,11.3,17.0,31.4,,0.0,0.1,0.1,.324,,9.1,9.9,19.0,0.1
141,Jeff Dowtin\dowtije01,PG,24,TOT,5,31,7.5,.429,.286,.000,3.7,20.3,12.3,13.3,0.0,3.1,12.5,11.2,,0.0,0.0,0.0,.061,,-5.3,-0.2,-5.5,0.0
141,Jeff Dowtin\dowtije01,PG,24,GSW,4,28,9.7,.500,.167,.000,4.1,22.5,13.6,14.7,0.0,3.4,14.3,10.9,,0.0,0.0,0.1,.105,,-4.3,0.6,-3.7,0.0
141,Jeff Dowtin\dowtije01,PG,24,MIL,1,3,-13.1,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,,0.0,0.0,0.0,-0.342,,-15.3,-7.0,-22.2,0.0
142,PJ Dozier\doziepj01,SG,25,DEN,18,340,9.2,.463,.485,.131,4.6,15.7,10.2,11.8,1.6,1.6,11.0,15.4,,-0.1,0.4,0.3,.045,,-3.0,0.7,-2.3,0.0
143,Goran Dragić\dragigo01,PG,35,TOR,5,90,16.6,.521,.412,.294,2.3,15.2,8.4,14.5,2.8,1.1,2.5,18.7,,0.2,0.1,0.3,.163,,-0.1,2.1,2.0,0.1
144,Andre Drummond\drumman01,C,28,PHI,34,652,20.5,.544,.006,.375,17.8,34.7,26.4,15.5,2.9,4.9,21.5,18.0,,0.8,1.5,2.3,.168,,-0.7,2.0,1.3,0.5
145,Chris Duarte\duartch01,SG,24,IND,34,974,12.1,.530,.447,.147,2.3,13.1,7.7,11.2,1.7,0.4,12.0,21.3,,0.0,0.8,0.8,.040,,-1.5,-0.7,-2.2,0.0
146,David Duke Jr.\dukeda01,PG,22,BRK,10,214,10.1,.428,.299,.224,11.9,12.4,12.1,6.9,1.6,2.0,7.5,16.1,,0.0,0.2,0.3,.060,,-3.4,-1.1,-4.4,-0.1
147,Kevin Durant\duranke01,PF,33,BRK,34,1271,25.6,.621,.245,.339,1.7,19.4,10.9,27.4,0.9,2.3,11.4,31.4,,4.0,1.5,5.5,.209,,6.3,0.6,6.9,2.9
148,Jaime Echenique\echenja01,C,24,WAS,1,3,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.011,,-5.2,-2.9,-8.1,0.0
149,Anthony Edwards\edwaran01,SG,20,MIN,35,1241,17.0,.557,.472,.183,3.2,13.5,8.1,17.5,2.1,2.0,13.7,27.4,,0.9,1.4,2.3,.088,,2.0,-0.1,1.9,1.2
150,Kessler Edwards\edwarke02,SF,21,BRK,8,162,11.5,.519,.462,.000,7.5,16.3,12.1,7.8,1.5,2.7,14.8,16.3,,0.0,0.2,0.2,.057,,-1.2,-0.3,-1.5,0.0
151,Rob Edwards\edwarro01,SG,25,OKC,2,11,-0.6,.375,1.000,.000,0.0,28.3,13.8,0.0,0.0,0.0,20.0,19.7,,0.0,0.0,0.0,-0.174,,-8.2,-3.1,-11.3,0.0
152,CJ Elleby\ellebcj01,SF,21,POR,21,187,11.5,.570,.509,.140,7.5,18.0,12.7,7.2,1.3,0.5,14.2,16.4,,0.2,0.1,0.2,.057,,-2.0,-1.5,-3.5,-0.1
153,Wayne Ellington\ellinwa01,SG,34,LAL,28,580,9.0,.590,.911,.032,1.3,7.3,4.4,5.1,1.1,0.3,7.5,12.7,,0.5,0.3,0.8,.064,,-0.9,-0.6,-1.5,0.0
154,Joel Embiid\embiijo01,C,27,PHI,28,923,29.6,.597,.181,.588,6.5,28.7,17.8,23.8,1.7,4.0,11.1,34.7,,3.1,1.6,4.6,.241,,6.2,1.8,8.0,2.3
155,James Ennis III\ennisja01,SF,31,TOT,5,46,19.5,.633,.333,.222,9.5,13.3,11.5,0.0,2.1,3.8,9.2,20.7,,0.1,0.1,0.2,.163,,0.6,-0.5,0.2,0.0
155,James Ennis III\ennisja01,SF,31,BRK,2,14,14.9,.357,.286,.000,15.8,21.8,18.9,0.0,3.4,6.3,0.0,21.6,,0.0,0.0,0.0,.046,,-0.4,-0.6,-0.9,0.0
155,James Ennis III\ennisja01,SF,31,LAC,2,28,26.9,.784,.364,.364,7.7,11.0,9.4,0.0,1.7,3.0,7.3,21.6,,0.1,0.0,0.2,.295,,3.9,-0.1,3.8,0.0
155,James Ennis III\ennisja01,SF,31,DEN,1,4,-17.1,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,11.1,,0.0,0.0,0.0,-0.347,,-18.7,-2.6,-21.3,0.0
156,Drew Eubanks\eubandr01,C,24,SAS,37,469,15.5,.584,.048,.524,9.2,23.6,16.3,11.3,1.2,4.5,20.5,17.6,,0.4,0.7,1.0,.106,,-2.5,0.7,-1.8,0.0
157,Tacko Fall\fallta01,C,26,CLE,11,59,11.4,.398,.000,.583,13.3,28.2,21.0,4.6,0.0,8.9,16.6,13.4,,-0.1,0.1,0.1,.058,,-4.0,0.7,-3.3,0.0
158,Derrick Favors\favorde01,C,30,OKC,30,479,13.5,.507,.085,.127,8.3,21.0,14.5,7.7,1.2,1.4,3.8,14.1,,0.5,0.5,1.0,.103,,-2.5,0.0,-2.5,-0.1
159,Bruno Fernando\fernabr01,C,23,BOS,12,32,4.9,.600,.000,.000,9.9,10.1,10.0,4.4,0.0,5.8,44.4,12.3,,-0.1,0.0,0.0,-0.034,,-8.5,-0.5,-8.9,-0.1
160,Dorian Finney-Smith\finnedo01,PF,28,DAL,39,1253,12.9,.583,.605,.142,5.3,11.1,8.1,8.9,1.9,1.6,9.5,13.9,,1.6,1.6,3.2,.124,,0.2,1.0,1.2,1.0
161,Malik Fitts\fittsma01,PF,24,UTA,7,35,-1.5,.333,.444,.000,0.0,29.6,15.5,0.0,0.0,0.0,18.2,13.5,,-0.1,0.0,-0.1,-0.103,,-8.0,-2.3,-10.4,-0.1
162,Malachi Flynn\flynnma01,PG,23,TOR,26,230,9.0,.427,.512,.081,2.7,10.9,6.6,15.5,2.2,1.3,8.2,18.0,,-0.1,0.2,0.1,.026,,-3.5,-0.2,-3.7,-0.1
163,Bryn Forbes\forbebr01,SG,28,SAS,38,627,12.0,.557,.495,.172,0.7,9.6,5.1,8.5,1.1,0.4,10.1,22.0,,0.3,0.4,0.6,.047,,-0.8,-1.8,-2.6,-0.1
164,Aleem Ford\fordal03,SF,24,ORL,5,74,0.7,.350,.750,.000,2.9,18.8,10.8,3.9,0.7,0.0,16.7,14.0,,-0.2,0.0,-0.2,-0.108,,-8.9,-2.4,-11.3,-0.2
165,Trent Forrest\forretr01,PG,23,UTA,30,273,6.3,.556,.108,.378,3.7,12.1,8.1,14.7,0.9,0.0,35.7,10.6,,-0.1,0.2,0.1,.020,,-3.9,0.1,-3.8,-0.1
166,Evan Fournier\fournev01,SG,29,NYK,39,1124,12.4,.543,.586,.125,1.7,8.9,5.3,10.1,1.6,0.8,9.6,21.4,,0.6,0.8,1.4,.061,,-0.6,-1.0,-1.6,0.1
167,De'Aaron Fox\foxde01,PG,24,SAC,39,1333,16.2,.526,.219,.342,1.5,9.9,5.7,24.5,1.8,1.1,12.3,28.0,,0.8,0.6,1.4,.052,,-0.2,-1.0,-1.2,0.3
168,Tim Frazier\fraziti01,PG,31,ORL,10,200,4.2,.394,.395,.209,2.6,7.5,5.1,23.3,0.7,0.5,21.7,13.0,,-0.2,0.0,-0.2,-0.042,,-6.2,-2.1,-8.3,-0.3
169,Enes Freedom\kanteen01,C,29,BOS,24,306,17.6,.583,.048,.241,18.4,26.9,22.6,2.0,0.8,3.3,14.0,15.3,,0.6,0.5,1.0,.164,,-0.2,-1.1,-1.3,0.0
170,Wenyen Gabriel\gabriwe01,PF,24,TOT,6,43,8.1,.400,.333,.333,10.0,19.0,14.7,6.5,1.1,3.9,6.8,15.1,,0.0,0.1,0.0,.055,,-6.3,-1.2,-7.5,-0.1
170,Wenyen Gabriel\gabriwe01,PF,24,BRK,1,1,11.7,,,,0.0,100.0,53.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.182,,-1.7,0.1,-1.6,0.0
170,Wenyen Gabriel\gabriwe01,PF,24,LAC,5,42,8.0,.400,.333,.333,10.3,17.1,13.8,6.7,1.2,4.0,6.8,15.4,,0.0,0.1,0.0,.052,,-6.4,-1.2,-7.6,-0.1
171,Daniel Gafford\gaffoda01,C,23,WAS,38,871,21.5,.710,.000,.311,11.6,20.4,16.1,7.4,1.0,6.5,13.1,15.2,,2.6,1.1,3.7,.205,,1.1,1.1,2.2,0.9
172,Danilo Gallinari\gallida01,PF,33,ATL,30,667,14.6,.573,.511,.286,2.9,17.2,10.1,8.9,1.0,0.8,5.9,17.8,,1.3,0.2,1.5,.109,,1.0,-1.2,-0.2,0.3
173,Langston Galloway\gallola01,SG,30,TOT,7,107,0.8,.269,.615,.000,3.0,14.4,8.9,14.1,0.5,0.0,18.8,12.9,,-0.3,0.1,-0.2,-0.090,,-7.8,-1.8,-9.6,-0.2
173,Langston Galloway\gallola01,SG,30,BRK,4,58,2.0,.462,.615,.000,1.9,12.3,7.3,11.3,0.0,0.0,27.8,13.4,,-0.1,0.0,-0.1,-0.061,,-7.5,-2.9,-10.4,-0.1
173,Langston Galloway\gallola01,SG,30,MIL,3,49,-0.6,.077,.615,.000,4.4,16.8,10.7,17.4,1.0,0.0,7.1,12.2,,-0.2,0.0,-0.1,-0.125,,-8.2,-0.5,-8.7,-0.1
174,Darius Garland\garlada01,PG,22,CLE,35,1202,17.5,.584,.445,.154,1.6,7.7,4.8,34.8,1.9,0.2,18.1,25.8,,1.6,1.4,3.0,.121,,2.6,-0.4,2.2,1.3
175,Marcus Garrett\garrema01,SG,23,MIA,12,128,4.8,.280,.190,.238,7.9,12.2,10.0,7.0,2.0,2.5,7.9,8.7,,-0.1,0.2,0.1,.031,,-6.0,0.7,-5.3,-0.1
176,Usman Garuba\garubus01,PF,19,HOU,15,105,12.3,.382,.542,.083,9.4,25.8,17.6,10.6,3.2,5.3,10.8,11.3,,0.0,0.1,0.1,.057,,-1.9,1.5,-0.4,0.0
177,Luka Garza\garzalu01,C,23,DET,26,320,14.1,.517,.342,.368,14.9,11.8,13.4,7.7,1.2,1.1,10.2,19.7,,0.3,0.2,0.5,.078,,-1.5,-2.0,-3.5,-0.1
178,Rudy Gay\gayru01,PF,35,UTA,25,498,15.0,.572,.576,.223,5.5,19.1,12.6,7.7,1.3,1.2,8.6,19.1,,0.9,0.6,1.4,.139,,0.9,-0.3,0.6,0.3
179,Paul George\georgpa01,SF,31,LAC,26,924,18.2,.528,.390,.210,1.3,19.3,10.5,27.7,2.8,0.9,15.2,34.0,,-0.6,1.7,1.1,.056,,1.4,1.6,3.1,1.2
180,Taj Gibson\gibsota01,C,36,NYK,25,476,10.7,.559,.192,.288,9.2,16.6,12.9,6.0,1.3,4.5,17.1,9.2,,0.5,0.6,1.0,.103,,-3.6,1.1,-2.5,-0.1
181,Josh Giddey\giddejo01,SG,19,OKC,35,1070,13.5,.463,.325,.116,4.9,20.1,12.3,33.9,1.7,1.5,19.0,21.3,,-0.7,1.3,0.5,.024,,-1.4,0.5,-0.9,0.3
182,Shai Gilgeous-Alexander\gilgesh01,PG,23,OKC,35,1223,18.0,.525,.326,.357,1.7,11.9,6.7,27.1,1.3,2.0,10.1,29.1,,1.2,1.0,2.2,.086,,1.6,-0.3,1.2,1.0
183,Anthony Gill\gillan01,PF,29,WAS,16,108,19.8,.790,.259,.444,8.3,16.8,12.6,11.2,0.5,1.6,11.0,14.9,,0.5,0.1,0.5,.231,,2.4,-0.1,2.3,0.1
184,Freddie Gillespie\gillefr01,PF,24,ORL,9,119,9.8,.419,.045,.318,11.6,20.7,16.1,6.0,1.2,6.9,16.6,10.9,,0.0,0.1,0.1,.043,,-5.2,0.6,-4.6,-0.1
185,Rudy Gobert\goberru01,C,29,UTA,37,1187,25.2,.726,.003,.871,12.5,37.2,25.4,4.7,1.2,6.0,14.5,16.8,,4.3,2.5,6.8,.274,,3.2,2.1,5.2,2.2
186,Brandon Goodwin\goodwbr01,PG,26,CLE,3,68,7.1,.373,.269,.308,3.3,13.7,8.7,30.3,1.5,0.0,14.5,22.2,,-0.1,0.1,0.0,-0.034,,-7.2,-1.5,-8.7,-0.1
187,Jordan Goodwin\goodwjo01,SG,23,WAS,2,6,-20.7,.000,.333,.000,0.0,17.8,9.1,0.0,0.0,0.0,0.0,22.2,,-0.1,0.0,-0.1,-0.531,,-24.4,-9.4,-33.8,0.0
188,Aaron Gordon\gordoaa01,PF,26,DEN,36,1147,15.3,.602,.289,.294,6.1,13.4,9.8,10.3,1.0,1.8,12.3,18.9,,1.7,1.0,2.7,.113,,0.2,-0.8,-0.6,0.4
189,Eric Gordon\gordoer01,SG,33,HOU,35,1019,14.1,.623,.500,.262,0.8,5.5,3.2,18.6,1.0,1.5,16.4,20.1,,1.2,-0.1,1.1,.052,,1.1,-2.6,-1.5,0.1
190,Devonte' Graham\grahade01,PG,26,NOP,38,1191,12.9,.523,.682,.172,1.5,7.3,4.3,22.0,1.6,0.6,10.7,20.4,,1.1,0.4,1.5,.059,,0.7,-1.6,-0.9,0.3
191,Jerami Grant\grantje01,PF,27,DET,24,797,16.8,.540,.332,.382,2.9,13.3,7.8,13.9,1.6,3.1,10.3,26.7,,0.6,0.7,1.2,.073,,1.2,-0.2,1.0,0.6
192,Hassani Gravett\graveha01,PG,25,ORL,8,171,10.6,.629,.684,.105,0.6,12.5,6.5,17.5,1.4,0.5,18.5,12.4,,0.2,0.1,0.2,.070,,-2.2,-0.1,-2.4,0.0
193,Danny Green\greenda02,SF,34,PHI,28,679,11.1,.582,.860,.051,2.6,9.1,5.9,6.5,2.8,3.2,13.5,12.3,,0.3,0.9,1.2,.082,,-0.9,1.5,0.6,0.4
194,Draymond Green\greendr01,PF,31,GSW,34,1018,15.2,.581,.209,.333,4.2,22.6,13.8,33.7,2.2,3.9,31.5,14.4,,0.9,2.4,3.3,.154,,-0.6,4.7,4.0,1.5
195,Jalen Green\greenja05,SG,19,HOU,27,816,10.1,.534,.510,.290,1.2,9.7,5.5,11.1,0.9,0.6,15.2,23.6,,-0.4,-0.1,-0.5,-0.028,,-1.7,-2.7,-4.4,-0.5
196,JaMychal Green\greenja01,PF,31,DEN,35,523,12.9,.542,.455,.251,6.7,20.2,13.5,7.8,2.3,3.0,14.7,18.5,,0.1,0.8,0.9,.086,,-3.3,0.9,-2.4,-0.1
197,Javonte Green\greenja02,SF,28,CHI,29,644,11.9,.589,.264,.320,7.5,13.4,10.5,5.7,1.8,1.6,10.7,10.9,,1.0,0.7,1.7,.127,,-1.6,0.5,-1.1,0.1
198,Jeff Green\greenje02,C,35,DEN,36,889,11.5,.597,.333,.352,2.4,11.2,6.8,6.8,0.6,1.9,11.3,17.2,,0.9,0.7,1.5,.083,,-2.3,-1.0,-3.3,-0.3
199,Josh Green\greenjo02,SG,21,DAL,25,292,15.5,.630,.200,.227,5.5,13.4,9.4,13.9,2.1,1.6,11.8,14.3,,0.6,0.4,1.0,.167,,-1.3,1.8,0.5,0.2
200,Blake Griffin\griffbl01,PF,32,BRK,30,569,11.1,.449,.472,.242,6.6,17.9,12.5,14.0,1.4,1.7,6.6,16.0,,0.3,0.7,1.0,.082,,-2.6,0.3,-2.2,0.0
201,Quentin Grimes\grimequ01,SG,21,NYK,23,311,9.9,.542,.825,.082,1.4,9.8,5.5,10.3,1.9,1.3,12.2,16.3,,0.1,0.3,0.4,.056,,-1.6,0.4,-1.2,0.1
202,Kyle Guy\guyky01,SG,24,MIA,5,101,17.2,.659,.571,.143,1.1,7.7,4.4,20.1,2.0,1.1,11.8,18.5,,0.3,0.1,0.4,.176,,1.3,1.5,2.7,0.1
203,Rui Hachimura\hachiru01,PF,23,WAS,2,29,7.5,.416,.231,.462,3.8,14.7,9.4,10.5,0.0,0.0,6.0,25.5,,0.0,0.0,0.0,-0.070,,-5.7,-4.2,-9.8,-0.1
204,Tyrese Haliburton\halibty01,SG,21,SAC,41,1393,17.5,.583,.425,.149,2.4,9.7,6.0,29.9,2.4,1.8,15.6,17.7,,2.6,0.9,3.5,.121,,2.5,0.5,3.0,1.8
205,Tyler Hall\hallty01,SG,24,NYK,1,2,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.004,,-8.1,-0.9,-9.0,0.0
206,R.J. Hampton\hamptrj01,SG,20,ORL,37,724,10.0,.489,.394,.293,1.9,13.9,7.9,19.9,1.5,0.9,15.1,19.8,,-0.4,0.4,0.0,.001,,-2.9,-0.5,-3.3,-0.2
207,Tim Hardaway Jr.\hardati02,SG,29,DAL,34,1042,13.5,.514,.566,.182,1.3,13.1,7.1,12.2,1.6,0.5,4.8,21.7,,0.7,1.2,1.9,.089,,0.0,0.1,0.1,0.6
208,James Harden\hardeja01,PG,32,BRK,34,1253,21.0,.584,.455,.517,2.8,19.7,11.6,39.1,1.7,1.6,20.1,28.2,,2.3,1.7,4.0,.154,,3.6,0.6,4.1,1.9
209,Maurice Harkless\harklma01,SF,28,SAC,28,526,6.3,.534,.580,.130,1.0,12.2,6.6,3.8,1.1,2.3,14.5,10.0,,-0.1,0.2,0.1,.013,,-3.7,0.2,-3.5,-0.2
210,Jared Harper\harpeja01,PG,24,NOP,2,10,21.7,.500,.286,.000,10.6,0.0,5.4,60.2,0.0,9.4,12.5,34.3,,0.0,0.0,0.0,.110,,5.3,-1.9,3.4,0.0
211,Montrezl Harrell\harremo01,C,28,WAS,34,862,24.9,.686,.035,.554,9.8,21.4,15.7,14.1,1.0,2.0,9.6,20.4,,3.6,0.8,4.3,.242,,4.6,0.5,5.1,1.6
212,Gary Harris\harriga01,SG,27,ORL,34,996,11.3,.570,.484,.177,2.8,5.8,4.3,10.3,1.4,0.7,11.5,17.0,,0.7,0.3,1.0,.050,,-1.7,-1.1,-2.8,-0.2
213,Joe Harris\harrijo01,SF,30,BRK,14,423,9.8,.624,.710,.048,1.3,12.3,7.0,4.6,0.8,0.4,11.2,14.6,,0.3,0.3,0.6,.072,,-1.0,-0.7,-1.6,0.0
214,Tobias Harris\harrito02,PF,29,PHI,30,1040,17.5,.540,.244,.257,3.7,20.1,12.0,18.3,0.8,1.7,8.9,24.3,,1.4,1.0,2.4,.109,,0.9,-0.9,0.0,0.5
215,Shaquille Harrison\harrish01,SG,28,BRK,2,23,4.7,.333,.333,.000,4.8,13.3,9.2,17.0,2.1,3.8,25.0,15.0,,-0.1,0.0,0.0,-0.055,,-8.8,0.6,-8.2,0.0
216,Josh Hart\hartjo01,PF,26,NOP,32,1053,15.8,.613,.322,.373,4.3,20.6,12.3,20.7,1.4,1.0,15.7,16.6,,1.9,0.7,2.6,.120,,0.4,0.4,0.8,0.8
217,Isaiah Hartenstein\harteis01,C,23,LAC,29,477,24.1,.679,.021,.345,12.0,17.9,15.0,18.5,2.5,6.6,15.1,17.7,,1.5,1.0,2.5,.256,,1.5,4.1,5.6,0.9
218,Udonis Haslem\hasleud01,C,41,MIA,8,52,14.7,.563,.100,.150,8.6,27.9,18.3,6.2,1.0,2.1,8.6,19.8,,0.1,0.1,0.2,.144,,-2.5,0.3,-2.2,0.0
219,Sam Hauser\hausesa01,SF,24,BOS,7,31,8.1,.409,1.000,.000,3.4,10.5,6.9,4.6,1.6,3.0,0.0,15.6,,0.0,0.0,0.0,.034,,-1.4,-0.4,-1.8,0.0
220,Jaxson Hayes\hayesja02,C,21,NOP,29,396,18.3,.635,.114,.537,9.9,18.2,14.0,4.0,1.1,4.3,11.1,18.5,,0.9,0.3,1.3,.154,,-0.7,-0.8,-1.6,0.0
221,Killian Hayes\hayeski01,PG,20,DET,30,780,7.8,.440,.431,.144,1.8,11.1,6.2,21.0,2.3,1.4,18.3,14.4,,-0.7,0.6,0.0,-0.001,,-5.1,0.5,-4.6,-0.5
222,Gordon Hayward\haywago01,SF,31,CHO,40,1328,16.0,.575,.351,.269,2.5,13.1,7.7,15.8,1.3,1.5,10.5,21.0,,2.2,0.4,2.5,.091,,0.7,-1.5,-0.8,0.4
223,Aaron Henry\henryaa01,SF,22,PHI,6,17,-7.4,.200,.200,.000,0.0,6.4,3.2,0.0,0.0,10.8,28.6,18.5,,-0.1,0.0,-0.1,-0.312,,-13.9,-2.6,-16.5,-0.1
224,Juancho Hernangómez\hernaju01,PF,26,BOS,18,96,4.0,.307,.667,.333,9.9,18.0,13.9,4.2,2.1,1.9,16.2,16.9,,-0.3,0.1,-0.1,-0.064,,-6.9,-1.9,-8.7,-0.2
225,Willy Hernangómez\hernawi01,C,27,NOP,23,342,23.1,.604,.024,.408,17.4,31.8,24.4,13.8,1.2,1.4,11.9,21.0,,1.0,0.3,1.3,.188,,2.4,-1.3,1.2,0.3
226,Tyler Herro\herroty01,SG,22,MIA,34,1116,15.2,.535,.387,.162,2.3,14.5,8.4,20.5,0.9,0.5,13.0,29.9,,0.3,1.0,1.4,.060,,1.1,-1.6,-0.5,0.4
227,Buddy Hield\hieldbu01,SG,29,SAC,43,1256,13.7,.553,.716,.136,2.4,11.6,7.0,10.7,1.5,0.9,10.0,22.7,,1.0,0.5,1.5,.057,,1.5,-1.3,0.2,0.7
228,Haywood Highsmith\highsha01,SF,25,MIA,4,42,11.0,.750,.875,.000,5.3,8.0,6.7,0.0,0.0,2.6,0.0,8.4,,0.1,0.0,0.1,.139,,0.2,-1.0,-0.8,0.0
229,George Hill\hillge01,SG,35,MIL,33,845,10.7,.563,.476,.199,3.4,9.4,6.5,12.6,1.5,0.6,13.0,12.1,,1.0,0.7,1.7,.097,,-2.1,0.4,-1.7,0.1
