Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
27,Desmond Bane\banede01,SF,23,MEM,42,1256,17.0,.589,.489,.095,1.7,14.3,7.9,12.4,1.7,1.5,9.2,22.8,,2.2,1.2,3.5,.133,,2.5,-0.3,2.2,1.3
28,Dalano Banton\bantoda01,SF,22,TOR,32,380,9.8,.474,.222,.205,5.1,14.1,9.4,20.5,1.6,1.3,20.6,18.0,,-0.2,0.3,0.1,.017,,-3.3,-0.6,-3.9,-0.2
29,Cat Barber\barbeca01,PG,27,ATL,3,13,-11.3,.000,.000,1.000,8.4,16.5,12.5,27.2,0.0,0.0,14.8,22.7,,-0.1,0.0,-0.1,-0.460,,-15.5,-8.0,-23.5,-0.1
30,Harrison Barnes\barneha02,PF,29,SAC,38,1264,15.8,.605,.442,.444,3.8,15.8,9.8,10.2,1.1,0.5,11.4,19.3,,2.4,0.5,2.9,.110,,2.0,-1.0,0.9,0.9
31,Scottie Barnes\barnesc01,PF,20,TOR,32,1137,16.2,.543,.190,.251,8.3,16.4,12.1,14.7,1.4,2.5,12.5,18.6,,1.7,1.0,2.7,.114,,0.6,0.0,0.6,0.7
32,RJ Barrett\barrerj01,SF,21,NYK,34,1074,12.8,.511,.383,.277,2.5,16.2,9.3,12.7,0.8,1.0,10.2,24.8,,0.1,0.8,0.9,.041,,-0.6,-1.4,-2.1,0.0
33,Will Barton\bartowi01,SG,31,DEN,34,1116,13.9,.527,.472,.112,2.2,14.3,8.3,19.8,1.3,1.3,11.6,22.0,,0.4,1.1,1.5,.065,,0.6,-0.4,0.2,0.6
34,Paris Bass\basspa01,SF,26,PHO,2,7,14.7,.436,.333,.333,30.9,29.2,30.0,0.0,6.9,0.0,22.5,54.6,,0.0,0.0,0.0,-0.147,,-11.1,-1.3,-12.4,0.0
35,Charles Bassey\bassech01,PF,21,PHI,18,143,21.9,.686,.083,.306,14.1,27.4,20.8,6.5,1.4,9.6,14.6,15.1,,0.4,0.3,0.7,.233,,-0.2,2.4,2.2,0.2
36,Keita Bates-Diop\bateske01,SF,26,SAS,32,539,12.0,.573,.199,.265,6.5,19.1,12.7,4.9,1.4,1.7,15.1,14.0,,0.3,0.6,0.8,.076,,-2.5,-0.4,-2.9,-0.1
37,Nicolas Batum\batumni01,PF,33,LAC,23,587,13.1,.627,.783,.084,1.7,17.0,9.5,8.9,2.0,2.5,11.9,12.6,,0.6,0.9,1.5,.125,,0.1,2.5,2.6,0.7
38,Kent Bazemore\bazemke01,SF,32,LAL,24,407,6.4,.440,.535,.129,2.1,10.1,6.2,6.7,2.3,1.3,7.0,12.1,,-0.2,0.4,0.3,.032,,-4.8,1.3,-3.6,-0.1
39,Darius Bazley\bazleda01,PF,21,OKC,35,928,11.1,.474,.403,.238,4.3,20.3,12.1,6.9,1.4,4.6,13.2,17.7,,-0.9,1.2,0.4,.019,,-3.1,0.5,-2.6,-0.1
40,Bradley Beal\bealbr01,SG,28,WAS,34,1224,18.7,.542,.277,.249,3.0,11.0,7.1,30.7,1.2,0.8,13.1,31.5,,1.1,0.6,1.8,.070,,2.5,-1.4,1.1,1.0
41,Malik Beasley\beaslma01,SG,25,MIN,41,1115,10.6,.508,.728,.055,1.4,11.5,6.2,9.0,1.1,0.4,6.1,20.1,,0.4,0.8,1.2,.051,,-0.3,-1.4,-1.8,0.1
42,Jordan Bell\belljo01,C,27,CHI,1,2,29.8,,,,55.2,0.0,27.5,0.0,24.3,0.0,,0.0,,0.0,0.0,0.0,.623,,-7.7,10.6,2.8,0.0
43,DeAndre' Bembry\bembrde01,SF,27,BRK,35,694,12.9,.631,.172,.172,3.8,12.8,8.5,8.6,2.5,2.4,12.4,11.6,,0.9,1.0,1.8,.127,,-1.8,1.8,0.0,0.4
44,Dāvis Bertāns\bertada01,PF,29,WAS,28,442,10.4,.554,.839,.187,1.5,12.1,6.9,4.8,1.2,0.9,7.2,18.2,,0.3,0.3,0.6,.060,,-1.1,-1.3,-2.4,0.0
45,Patrick Beverley\beverpa01,PG,33,MIN,28,742,15.8,.539,.509,.234,4.6,13.7,9.0,27.3,2.0,3.4,12.7,15.5,,1.4,0.9,2.3,.152,,1.1,2.2,3.3,1.0
46,Saddiq Bey\beysa01,SF,22,DET,40,1352,12.4,.503,.512,.206,4.3,16.3,10.0,12.3,1.3,0.5,9.0,21.0,,0.3,0.8,1.1,.040,,-0.5,-1.4,-1.9,0.0
47,Khem Birch\birchkh01,C,29,TOR,22,479,15.2,.552,.078,.412,12.9,13.8,13.3,8.0,2.0,2.3,11.7,12.1,,0.9,0.5,1.3,.135,,-0.3,0.2,-0.1,0.2
48,Goga Bitadze\bitadgo01,C,22,IND,21,170,10.3,.396,.475,.305,13.7,16.3,15.0,2.5,2.9,5.6,10.7,19.2,,-0.2,0.3,0.1,.023,,-6.3,-0.1,-6.4,-0.2
49,Bismack Biyombo\biyombi01,C,29,PHO,4,65,24.7,.692,.000,.500,13.3,18.9,16.2,8.7,2.2,9.4,9.3,14.3,,0.2,0.2,0.4,.289,,1.3,3.8,5.1,0.1
50,Nemanja Bjelica\bjeline01,C,33,GSW,40,599,14.8,.567,.488,.227,6.3,21.2,14.0,14.8,1.9,2.1,15.6,20.0,,0.4,1.2,1.7,.135,,-0.6,1.7,1.2,0.5
51,Eric Bledsoe\bledser01,PG,32,LAC,42,1119,12.8,.517,.340,.239,2.1,11.7,7.0,23.5,2.5,1.2,18.4,20.0,,-0.2,1.6,1.4,.060,,-2.0,1.3,-0.7,0.4
52,Keljin Blevins\blevike01,SF,26,POR,3,14,8.4,.750,.750,.000,0.0,8.0,3.9,10.7,0.0,0.0,33.3,18.7,,0.0,0.0,0.0,-0.052,,1.2,-4.2,-2.9,0.0
53,Bogdan Bogdanović\bogdabo01,SG,29,ATL,26,749,12.2,.536,.564,.111,1.2,12.8,7.0,12.5,1.2,0.6,7.8,18.6,,0.6,0.2,0.8,.054,,-0.3,-0.9,-1.2,0.1
54,Bojan Bogdanović\bogdabo02,PF,32,UTA,40,1219,17.1,.631,.501,.288,2.9,11.5,7.4,8.0,0.8,0.1,10.7,22.8,,2.9,0.8,3.7,.146,,2.6,-1.5,1.2,1.0
55,Bol Bol\bolbo01,PF,22,DEN,14,81,14.2,.565,.148,.185,5.5,21.5,13.7,9.6,0.6,2.3,12.0,18.2,,0.0,0.1,0.1,.076,,-0.5,-0.6,-1.1,0.0
56,Leandro Bolmaro\bolmale01,SF,21,MIN,23,184,3.8,.389,.375,.281,8.3,12.0,10.1,7.7,1.3,0.0,25.0,10.9,,-0.2,0.1,-0.1,-0.013,,-6.1,-0.8,-6.8,-0.2
57,Isaac Bonga\bongais01,SF,22,TOR,12,63,8.0,.352,.308,.462,6.5,5.4,6.0,6.1,5.5,3.1,11.3,11.9,,-0.1,0.1,0.1,.039,,-5.7,3.9,-1.8,0.0
58,Devin Booker\bookede01,SG,25,PHO,33,1084,18.9,.553,.337,.246,2.8,14.1,8.6,21.6,1.4,0.8,11.2,31.2,,1.3,1.5,2.9,.127,,2.5,-0.1,2.4,1.2
59,Brandon Boston Jr.\bostobr01,SG,20,LAC,25,395,10.0,.463,.354,.244,1.9,12.2,7.2,7.3,2.0,1.3,9.0,22.2,,-0.4,0.5,0.1,.009,,-3.7,-0.3,-4.0,-0.2
60,Chris Boucher\bouchch01,PF,29,TOR,36,657,18.1,.533,.404,.336,11.4,21.9,16.4,3.0,1.7,5.3,8.3,20.3,,1.0,0.9,1.9,.139,,0.1,-0.9,-0.8,0.2
61,James Bouknight\bouknja01,SG,21,CHO,18,147,10.5,.455,.418,.149,9.7,9.6,9.7,13.1,0.3,0.0,7.8,22.3,,0.0,0.0,0.0,.004,,-1.7,-5.6,-7.3,-0.2
62,Avery Bradley\bradlav01,SG,31,LAL,33,784,9.0,.553,.574,.035,2.3,8.8,5.6,4.5,1.9,0.9,7.2,12.1,,0.4,0.6,1.1,.066,,-2.8,0.3,-2.5,-0.1
63,Tony Bradley\bradlto01,C,24,CHI,26,323,15.8,.604,.000,.141,13.7,26.0,19.9,6.0,0.8,4.6,17.0,13.6,,0.5,0.5,1.0,.147,,-1.1,0.4,-0.8,0.1
64,Ignas Brazdeikis\brazdig01,SF,23,ORL,16,144,4.1,.370,.524,.143,5.1,11.2,8.1,8.1,1.4,0.6,10.1,14.9,,-0.2,0.1,-0.2,-0.051,,-6.1,-1.5,-7.6,-0.2
65,Mikal Bridges\bridgmi01,SF,25,PHO,40,1366,13.1,.613,.389,.123,3.0,8.9,6.0,7.1,1.8,1.2,7.6,13.8,,2.1,1.8,3.9,.138,,-0.1,1.4,1.3,1.2
66,Miles Bridges\bridgmi02,PF,23,CHO,39,1400,17.6,.568,.381,.250,3.8,18.0,10.7,15.0,1.5,2.2,9.3,22.3,,2.3,0.8,3.1,.106,,1.4,-0.7,0.7,1.0
67,Oshae Brissett\brissos01,SF,23,IND,30,550,12.1,.540,.463,.175,7.9,15.1,11.5,6.0,1.4,1.6,10.4,15.3,,0.4,0.5,0.9,.081,,-0.6,-0.6,-1.2,0.1
68,Malcolm Brogdon\brogdma01,PG,29,IND,26,891,18.8,.559,.379,.300,3.0,14.3,8.7,28.0,1.3,1.1,11.6,24.4,,1.9,0.7,2.5,.137,,3.0,0.0,3.0,1.1
69,Armoni Brooks\brookar01,SG,23,HOU,33,599,10.3,.518,.842,.081,1.6,10.1,5.9,11.8,1.6,1.1,7.7,17.6,,0.3,0.1,0.4,.031,,-1.4,-1.9,-3.3,-0.2
70,Dillon Brooks\brookdi01,SF,26,MEM,21,587,16.1,.521,.297,.212,3.0,9.6,6.2,15.4,2.2,0.6,9.1,29.0,,0.5,0.5,1.1,.089,,-0.4,-0.7,-1.1,0.1
71,Bruce Brown\brownbr01,SF,25,BRK,30,675,12.4,.535,.163,.130,6.4,14.5,10.6,7.8,2.6,1.9,9.7,13.8,,0.5,1.0,1.5,.107,,-2.6,1.6,-1.0,0.2
72,Charlie Brown Jr.\brownch02,SG,24,TOT,5,50,6.5,.265,.600,.300,2.2,15.3,8.8,5.2,6.0,3.7,15.0,12.0,,-0.1,0.1,0.0,-0.017,,-7.3,4.8,-2.5,0.0
